source,target,edge,z_score (distance (DIFF)),p_value (distance (DIFF)),p_value (distribution) (distance (DIFF))
ICD9 569,ICD9 519,"['ICD9 569', 'ICD9 519']",2.032125369585023,0.01100000000000001,0.021070482839779747
ICD9 571,ICD9 519,"['ICD9 571', 'ICD9 519']",3.0222427651027597,0.0010000000000000009,0.0012545461725682605
ICD9 573,ICD9 079,"['ICD9 573', 'ICD9 079']",3.8584677946858306,0.0,5.7050049642959344e-05
ICD9 573,ICD9 519,"['ICD9 573', 'ICD9 519']",2.6938528928944407,0.0030000000000000027,0.003531566546619791
ICD9 574,ICD9 079,"['ICD9 574', 'ICD9 079']",1.2390788626168607,0.026000000000000023,0.10765814701983578
ICD9 574,ICD9 519,"['ICD9 574', 'ICD9 519']",0.04892822066864753,0.28,0.48048824947432234
ICD9 583,ICD9 455,"['ICD9 583', 'ICD9 455']",1.2114840676111869,0.03300000000000003,0.11285496860493582
ICD9 584,ICD9 079,"['ICD9 584', 'ICD9 079']",1.70578016427075,0.009000000000000008,0.04402450879645026
ICD9 584,ICD9 519,"['ICD9 584', 'ICD9 519']",2.8289187067909856,0.0040000000000000036,0.002335278054268808
ICD9 585,ICD9 079,"['ICD9 585', 'ICD9 079']",-0.55467750811535,0.248,0.7104423684001622
ICD9 585,ICD9 519,"['ICD9 585', 'ICD9 519']",3.660648877652843,0.0040000000000000036,0.00012578866160462
ICD9 593,ICD9 079,"['ICD9 593', 'ICD9 079']",2.072269339676938,0.0020000000000000018,0.019120165035682035
ICD9 593,ICD9 519,"['ICD9 593', 'ICD9 519']",2.001034621090981,0.007000000000000006,0.022694329519743373
ICD9 599,ICD9 272,"['ICD9 599', 'ICD9 272']",9.15012729782557,0.0,0.0
ICD9 600,ICD9 079,"['ICD9 600', 'ICD9 079']",1.9868650992292436,0.0040000000000000036,0.023468674068409467
ICD9 600,ICD9 519,"['ICD9 600', 'ICD9 519']",1.83081339819027,0.01200000000000001,0.03356419992328974
ICD9 692,ICD9 079,"['ICD9 692', 'ICD9 079']",1.7873653140308847,0.006000000000000005,0.03693923196226634
ICD9 692,ICD9 519,"['ICD9 692', 'ICD9 519']",1.6015897920617854,0.02200000000000002,0.05462317479769452
ICD9 719,ICD9 079,"['ICD9 719', 'ICD9 079']",1.5434805765542476,0.008000000000000007,0.06135710832406216
ICD9 719,ICD9 274,"['ICD9 719', 'ICD9 274']",2.63277703635146,0.0010000000000000009,0.004234496167816126
ICD9 719,ICD9 519,"['ICD9 719', 'ICD9 519']",0.8578806440394852,0.08299999999999996,0.19547918664645336
ICD9 724,ICD9 079,"['ICD9 724', 'ICD9 079']",2.700385516463954,0.0010000000000000009,0.003462958451340592
ICD9 724,ICD9 519,"['ICD9 724', 'ICD9 519']",2.528848953296235,0.007000000000000006,0.005721863229508184
ICD9 733,ICD9 079,"['ICD9 733', 'ICD9 079']",3.9443368102953533,0.0,4.0010562055159404e-05
ICD9 780,ICD9 079,"['ICD9 780', 'ICD9 079']",1.8300605355660384,0.007000000000000006,0.03362044365230332
ICD9 788,ICD9 079,"['ICD9 788', 'ICD9 079']",2.0840286937583308,0.0030000000000000027,0.018578778658198125
ICD9 788,ICD9 519,"['ICD9 788', 'ICD9 519']",1.8672080744307518,0.013000000000000012,0.030936268239006748
ICD9 790,ICD9 079,"['ICD9 790', 'ICD9 079']",1.7444531212245384,0.006000000000000005,0.04054005450206233
ICD9 790,ICD9 386,"['ICD9 790', 'ICD9 386']",0.3166537581931937,0.18300000000000005,0.3757531700039498
ICD9 790,ICD9 519,"['ICD9 790', 'ICD9 519']",1.548036928280189,0.02100000000000002,0.060806702905980003
ICD9 996,ICD9 079,"['ICD9 996', 'ICD9 079']",1.5613890865128963,0.007000000000000006,0.05921598764770297
ICD9 038,ICD9 519,"['ICD9 038', 'ICD9 519']",3.2689464647278683,0.0010000000000000009,0.0005397436190901495
ICD9 079,ICD9 038,"['ICD9 079', 'ICD9 038']",-0.9027453723313562,0.802,0.8166694750866552
ICD9 079,ICD9 799,"['ICD9 079', 'ICD9 799']",-0.8907217586655668,0.8109999999999999,0.8134607706131457
ICD9 218,ICD9 780,"['ICD9 218', 'ICD9 780']",24.16506026768541,0.0,0.0
ICD9 266,ICD9 079,"['ICD9 266', 'ICD9 079']",1.7404106091933569,0.0050000000000000044,0.04089347198111626
ICD9 272,ICD9 786,"['ICD9 272', 'ICD9 786']",4.955016094766676,0.0,3.616215115131993e-07
ICD9 278,ICD9 600,"['ICD9 278', 'ICD9 600']",6.152619227741133,0.0,3.8106817701333284e-10
ICD9 285,ICD9 311,"['ICD9 285', 'ICD9 311']",25.816343680317043,0.0,0.0
ICD9 311,ICD9 276,"['ICD9 311', 'ICD9 276']",6.912447737611105,0.0,2.3817614547283483e-12
ICD9 332,ICD9 079,"['ICD9 332', 'ICD9 079']",4.010211052167577,0.0,3.033224911275223e-05
ICD9 332,ICD9 519,"['ICD9 332', 'ICD9 519']",2.933774715053906,0.0010000000000000009,0.0016743358426734023
ICD9 366,ICD9 197,"['ICD9 366', 'ICD9 197']",11.876304152273589,0.0,0.0
ICD9 379,ICD9 250,"['ICD9 379', 'ICD9 250']",36.3658073671111,0.0,0.0
ICD9 401,ICD9 198,"['ICD9 401', 'ICD9 198']",19.37571513645264,0.0,0.0
ICD9 401,ICD9 272,"['ICD9 401', 'ICD9 272']",17.71506259632491,0.0,0.0
ICD9 401,ICD9 719,"['ICD9 401', 'ICD9 719']",1.774835027846254,0.11199999999999999,0.037962565402169024
ICD9 426,ICD9 294,"['ICD9 426', 'ICD9 294']",14.843521359638508,0.0,0.0
ICD9 436,ICD9 079,"['ICD9 436', 'ICD9 079']",1.5065756072713046,0.008000000000000007,0.06595973686269607
ICD9 478,ICD9 788,"['ICD9 478', 'ICD9 788']",1.2475515648783695,0.05900000000000005,0.10609766269770349
ICD9 482,ICD9 079,"['ICD9 482', 'ICD9 079']",2.7549571188015087,0.0,0.0029349914092142715
ICD9 486,ICD9 519,"['ICD9 486', 'ICD9 519']",-2.7934559255864566,0.993,0.9973925932584212
ICD9 490,ICD9 428,"['ICD9 490', 'ICD9 428']",2.5994140076316055,0.015000000000000013,0.004669153606134957
ICD9 493,ICD9 519,"['ICD9 493', 'ICD9 519']",-1.1200379579684572,0.6619999999999999,0.868651206457307
ICD9 519,ICD9 038,"['ICD9 519', 'ICD9 038']",1.703615996991267,0.04800000000000004,0.044226425449528706
ICD9 519,ICD9 276,"['ICD9 519', 'ICD9 276']",2.4285626917288976,0.01100000000000001,0.007579402056734574
ICD9 519,ICD9 486,"['ICD9 519', 'ICD9 486']",-2.9231385182740395,0.992,0.9982673883899946
ICD9 519,ICD9 599,"['ICD9 519', 'ICD9 599']",2.706867041354554,0.0020000000000000018,0.0033960726928107254
ICD9 519,ICD9 786,"['ICD9 519', 'ICD9 786']",1.240270074415065,0.10299999999999998,0.10743775860968396
ICD9 560,ICD9 519,"['ICD9 560', 'ICD9 519']",0.3100843272623134,0.18300000000000005,0.378248415149552
ICD9 569,ICD9 154,"['ICD9 569', 'ICD9 154']",8.795490906605915,0.0,0.0
ICD9 578,ICD9 079,"['ICD9 578', 'ICD9 079']",2.0103760108217035,0.0040000000000000036,0.02219570374505664
ICD9 719,ICD9 785,"['ICD9 719', 'ICD9 785']",2.106135341968302,0.02100000000000002,0.01759629882656011
ICD9 780,ICD9 272,"['ICD9 780', 'ICD9 272']",18.37538298919075,0.0,0.0
ICD9 783,ICD9 079,"['ICD9 783', 'ICD9 079']",3.730784721960744,0.0,9.544214159595832e-05
ICD9 783,ICD9 519,"['ICD9 783', 'ICD9 519']",3.5700926030973466,0.0010000000000000009,0.00017842752631713754
ICD9 786,ICD9 496,"['ICD9 786', 'ICD9 496']",5.410225993886866,0.0,3.14726321670733e-08
ICD9 788,ICD9 011,"['ICD9 788', 'ICD9 011']",4.412286513795631,0.0,5.114231625080734e-06
ICD9 788,ICD9 281,"['ICD9 788', 'ICD9 281']",4.734626291056214,0.0,1.0972954322951978e-06
ICD9 791,ICD9 276,"['ICD9 791', 'ICD9 276']",7.013297388878049,0.0,1.1638467967145516e-12
ICD9 996,ICD9 519,"['ICD9 996', 'ICD9 519']",0.6358316333290559,0.126,0.2624430834524173
