ICDID,geneID,geneID_num,geneID_new,geneID_new_num,geneId_LCC,Num_geneId_LCC
ICD9 085,"[383, 1401, 1437, 3117, 3123, 3162, 3458, 3553, 3565, 3569, 3576, 3586, 3587, 3606, 4170, 4313, 6347, 6556, 7124, 8784]",20,set(),0,"[383, 1401, 1437, 3117, 3123, 3162, 3458, 3553, 3565, 3569, 3576, 3586, 3587, 3606, 4170, 4313, 6347, 6556, 7124, 8784]",20
ICD9 086,[8542],1,set(),0,[8542],1
ICD9 087,[3557],1,set(),0,[3557],1
ICD9 094,"[3329, 3798, 5354, 6683, 6687, 26278, 51062, 57679, 123606]",9,set(),0,"[3329, 3798, 5354, 6683, 6687, 26278, 51062, 57679, 123606]",9
ICD9 110,[64170],1,set(),0,[64170],1
ICD9 112,"[326, 4057]",2,set(),0,"[326, 4057]",2
ICD9 117,"[1910, 51267, 64581]",3,set(),0,"[1910, 51267, 64581]",3
ICD9 120,"[4843, 5052, 6647, 7078, 11186, 54106]",6,set(),0,"[4843, 5052, 6647, 7078, 11186, 54106]",6
ICD9 121,[1548],1,set(),0,[1548],1
ICD9 122,"[213, 3043, 7018]",3,set(),0,"[213, 3043, 7018]",3
ICD9 127,"[3458, 4353]",2,set(),0,"[3458, 4353]",2
ICD9 135,"[311, 3115, 3123, 3606, 6556, 6648, 7040, 56244]",8,set(),0,"[311, 3115, 3123, 3606, 6556, 6648, 7040, 56244]",8
ICD9 136,"[196, 335, 338, 355, 720, 847, 1230, 3106, 3383, 3576, 3586, 3592, 3683, 3689, 4210, 5054, 6775, 7099, 8302, 51752, 149233, 170679, 337867, 101928376]",24,set(),0,"[196, 335, 338, 355, 720, 847, 1230, 3106, 3383, 3576, 3586, 3592, 3683, 3689, 4210, 5054, 6775, 7099, 8302, 51752, 149233, 170679, 337867]",23
ICD9 140,"[9, 196, 472, 672, 823, 847, 1029, 1386, 1436, 1728, 1869, 1969, 2067, 2194, 2740, 2878, 2923, 2952, 3297, 3397, 3553, 3558, 3606, 3757, 3845, 3934, 4057, 4609, 4846, 5243, 5329, 5465, 5743, 6502, 6528, 6648, 6722, 6750, 7015, 7150, 7403, 7421, 7422, 7442, 7528, 8091, 8797, 9290, 9446, 9582, 10232, 10370, 10395, 10495, 23526, 26799, 54431, 54663, 57016, 57448, 79727, 79949, 112939, 200315, 389421, 406918, 692088, 100506658]",68,set(),0,"[9, 196, 472, 672, 823, 847, 1029, 1386, 1436, 1728, 1869, 1969, 2067, 2194, 2740, 2878, 2923, 2952, 3297, 3397, 3553, 3558, 3606, 3757, 3845, 3934, 4057, 4609, 4846, 5243, 5329, 5465, 5743, 6502, 6528, 6648, 6722, 6750, 7015, 7150, 7403, 7421, 7422, 7442, 7528, 8091, 8797, 9290, 9446, 9582, 10232, 10370, 10395, 10495, 23526, 26799, 54431, 54663, 57016, 57448, 79727, 79949, 112939, 200315, 389421, 692088, 100506658]",67
ICD9 141,"[9, 196, 360, 472, 672, 823, 847, 1029, 1386, 1410, 1436, 1728, 1869, 1969, 2067, 2194, 2740, 2878, 2923, 2952, 3265, 3297, 3315, 3397, 3553, 3558, 3606, 3757, 3845, 3861, 3934, 4057, 4609, 4846, 5243, 5329, 5465, 5743, 6502, 6528, 6648, 6722, 6750, 7012, 7015, 7150, 7298, 7403, 7421, 7422, 7442, 7528, 8091, 8797, 9290, 9446, 9582, 10232, 10370, 10395, 10495, 23526, 26799, 54431, 54663, 57016, 57448, 79727, 79949, 112939, 200315, 389421, 406918, 407007, 692088, 100506658]",76,set(),0,"[9, 196, 360, 472, 672, 823, 847, 1029, 1386, 1410, 1436, 1728, 1869, 1969, 2067, 2194, 2740, 2878, 2923, 2952, 3265, 3297, 3315, 3397, 3553, 3558, 3606, 3757, 3845, 3861, 3934, 4057, 4609, 4846, 5243, 5329, 5465, 5743, 6502, 6528, 6648, 6722, 6750, 7012, 7015, 7150, 7298, 7403, 7421, 7422, 7442, 7528, 8091, 8797, 9290, 9446, 9582, 10232, 10370, 10395, 10495, 23526, 26799, 54431, 54663, 57016, 57448, 79727, 79949, 112939, 200315, 389421, 692088, 100506658]",74
ICD9 142,"[9, 182, 196, 358, 472, 595, 672, 823, 847, 999, 1029, 1386, 1436, 1462, 1612, 1728, 1869, 1969, 2011, 2019, 2067, 2175, 2194, 2195, 2620, 2621, 2740, 2878, 2923, 2952, 2982, 3297, 3397, 3485, 3553, 3558, 3606, 3691, 3757, 3845, 3852, 3866, 3934, 4057, 4082, 4609, 4846, 5174, 5176, 5243, 5329, 5465, 5587, 5743, 5834, 6484, 6502, 6528, 6648, 6651, 6659, 6664, 6722, 6750, 7015, 7150, 7153, 7403, 7421, 7422, 7442, 7528, 8091, 8797, 9290, 9446, 9454, 9582, 9700, 10232, 10370, 10395, 10495, 23209, 23526, 23543, 23619, 26799, 27344, 50805, 51477, 51514, 51659, 53335, 54431, 54441, 54531, 54663, 57016, 57419, 57448, 79727, 79949, 80303, 81029, 81831, 112939, 200315, 259266, 389421, 406918, 692088, 100506658]",113,set(),0,"[9, 182, 196, 358, 472, 595, 672, 823, 847, 999, 1029, 1386, 1436, 1462, 1612, 1728, 1869, 1969, 2011, 2019, 2067, 2175, 2194, 2195, 2620, 2621, 2740, 2878, 2923, 2952, 2982, 3297, 3397, 3485, 3553, 3558, 3606, 3691, 3757, 3845, 3852, 3866, 3934, 4057, 4082, 4609, 4846, 5174, 5176, 5243, 5329, 5465, 5587, 5743, 5834, 6484, 6502, 6528, 6648, 6651, 6659, 6664, 6722, 6750, 7015, 7150, 7153, 7403, 7421, 7422, 7442, 7528, 8091, 8797, 9290, 9446, 9454, 9582, 9700, 10232, 10370, 10395, 10495, 23209, 23526, 23543, 23619, 26799, 27344, 50805, 51477, 51514, 51659, 53335, 54431, 54441, 54531, 54663, 57016, 57448, 79727, 79949, 80303, 81029, 81831, 112939, 200315, 259266, 389421, 692088, 100506658]",111
ICD9 143,"[9, 196, 472, 672, 823, 847, 1029, 1386, 1436, 1728, 1869, 1969, 2067, 2194, 2740, 2878, 2923, 2952, 3297, 3397, 3553, 3558, 3606, 3757, 3845, 3934, 4057, 4609, 4846, 5243, 5329, 5465, 5743, 6502, 6528, 6648, 6722, 6750, 7015, 7030, 7150, 7403, 7421, 7422, 7442, 7528, 8091, 8797, 9290, 9446, 9582, 10232, 10370, 10395, 10495, 23526, 26799, 54431, 54663, 57016, 57448, 79058, 79727, 79949, 112939, 200315, 389421, 406918, 692088, 100506658]",70,{7030},1,"[9, 196, 472, 672, 823, 847, 1029, 1386, 1436, 1728, 1869, 1969, 2067, 2194, 2740, 2878, 2923, 2952, 3297, 3397, 3553, 3558, 3606, 3757, 3845, 3934, 4057, 4609, 4846, 5243, 5329, 5465, 5743, 6502, 6528, 6648, 6722, 6750, 7015, 7030, 7150, 7403, 7421, 7422, 7442, 7528, 8091, 8797, 9290, 9446, 9582, 10232, 10370, 10395, 10495, 23526, 26799, 54431, 54663, 57016, 57448, 79058, 79727, 79949, 112939, 200315, 389421, 692088, 100506658]",69
ICD9 144,"[9, 196, 472, 672, 823, 847, 1029, 1386, 1436, 1728, 1869, 1969, 2067, 2194, 2740, 2878, 2923, 2952, 3297, 3397, 3553, 3558, 3606, 3757, 3845, 3934, 4057, 4609, 4846, 5243, 5329, 5465, 5743, 6502, 6528, 6648, 6722, 6750, 7015, 7150, 7403, 7421, 7422, 7442, 7528, 8091, 8797, 9290, 9446, 9582, 10232, 10370, 10395, 10495, 23526, 26799, 54431, 54663, 57016, 57448, 79727, 79949, 112939, 200315, 389421, 406918, 692088, 100506658]",68,set(),0,"[9, 196, 472, 672, 823, 847, 1029, 1386, 1436, 1728, 1869, 1969, 2067, 2194, 2740, 2878, 2923, 2952, 3297, 3397, 3553, 3558, 3606, 3757, 3845, 3934, 4057, 4609, 4846, 5243, 5329, 5465, 5743, 6502, 6528, 6648, 6722, 6750, 7015, 7150, 7403, 7421, 7422, 7442, 7528, 8091, 8797, 9290, 9446, 9582, 10232, 10370, 10395, 10495, 23526, 26799, 54431, 54663, 57016, 57448, 79727, 79949, 112939, 200315, 389421, 692088, 100506658]",67
ICD9 145,"[9, 125, 126, 131, 196, 301, 302, 308, 472, 540, 672, 823, 847, 1029, 1386, 1410, 1436, 1545, 1728, 1834, 1869, 1969, 2023, 2067, 2194, 2243, 2597, 2740, 2810, 2878, 2923, 2952, 3158, 3202, 3236, 3237, 3265, 3297, 3312, 3315, 3383, 3397, 3553, 3558, 3606, 3757, 3845, 3854, 3934, 3963, 4057, 4255, 4489, 4609, 4846, 5223, 5243, 5290, 5329, 5465, 5478, 5743, 5747, 6317, 6347, 6502, 6528, 6648, 6722, 6750, 7015, 7074, 7150, 7157, 7167, 7248, 7249, 7372, 7403, 7417, 7421, 7422, 7442, 7528, 8091, 8797, 9290, 9446, 9582, 10135, 10232, 10319, 10370, 10395, 10397, 10399, 10495, 11321, 23410, 23526, 26799, 28998, 54431, 54663, 56952, 57016, 57448, 79727, 79949, 81037, 112939, 200315, 389421, 406918, 692088, 100048912, 100506658]",117,set(),0,"[9, 125, 126, 131, 196, 301, 302, 308, 472, 540, 672, 823, 847, 1029, 1386, 1410, 1436, 1545, 1728, 1834, 1869, 1969, 2023, 2067, 2194, 2243, 2597, 2740, 2810, 2878, 2923, 2952, 3158, 3202, 3236, 3237, 3265, 3297, 3312, 3315, 3383, 3397, 3553, 3558, 3606, 3757, 3845, 3854, 3934, 3963, 4057, 4255, 4489, 4609, 4846, 5223, 5243, 5290, 5329, 5465, 5478, 5743, 5747, 6317, 6347, 6502, 6528, 6648, 6722, 6750, 7015, 7074, 7150, 7157, 7167, 7248, 7249, 7372, 7403, 7417, 7421, 7422, 7442, 7528, 8091, 8797, 9290, 9446, 9582, 10135, 10232, 10319, 10370, 10395, 10397, 10399, 10495, 11321, 23410, 23526, 26799, 28998, 54431, 54663, 56952, 57016, 57448, 79727, 79949, 81037, 112939, 200315, 389421, 692088, 100506658]",115
ICD9 146,"[9, 196, 472, 672, 823, 847, 1029, 1386, 1436, 1728, 1869, 1969, 2067, 2194, 2740, 2878, 2923, 2952, 3297, 3397, 3553, 3558, 3606, 3757, 3845, 3934, 4057, 4609, 4846, 5243, 5329, 5465, 5743, 6502, 6528, 6648, 6722, 6750, 7015, 7150, 7403, 7421, 7422, 7442, 7528, 8091, 8797, 9290, 9446, 9582, 10232, 10370, 10395, 10495, 23526, 26799, 54431, 54663, 57016, 57448, 79727, 79949, 112939, 200315, 389421, 406918, 692088, 100506658]",68,set(),0,"[9, 196, 472, 672, 823, 847, 1029, 1386, 1436, 1728, 1869, 1969, 2067, 2194, 2740, 2878, 2923, 2952, 3297, 3397, 3553, 3558, 3606, 3757, 3845, 3934, 4057, 4609, 4846, 5243, 5329, 5465, 5743, 6502, 6528, 6648, 6722, 6750, 7015, 7150, 7403, 7421, 7422, 7442, 7528, 8091, 8797, 9290, 9446, 9582, 10232, 10370, 10395, 10495, 23526, 26799, 54431, 54663, 57016, 57448, 79727, 79949, 112939, 200315, 389421, 692088, 100506658]",67
ICD9 147,"[9, 196, 472, 672, 823, 847, 1029, 1386, 1436, 1728, 1869, 1969, 2067, 2194, 2740, 2878, 2923, 2952, 3297, 3397, 3553, 3558, 3606, 3757, 3845, 3934, 4057, 4609, 4792, 4846, 5243, 5329, 5465, 5743, 6502, 6528, 6648, 6722, 6750, 7015, 7150, 7403, 7421, 7422, 7442, 7528, 8091, 8797, 9290, 9446, 9582, 10232, 10370, 10395, 10495, 23526, 26799, 54431, 54663, 57016, 57448, 79727, 79949, 112939, 200315, 389421, 406918, 692088, 100506658]",69,set(),0,"[9, 196, 472, 672, 823, 847, 1029, 1386, 1436, 1728, 1869, 1969, 2067, 2194, 2740, 2878, 2923, 2952, 3297, 3397, 3553, 3558, 3606, 3757, 3845, 3934, 4057, 4609, 4792, 4846, 5243, 5329, 5465, 5743, 6502, 6528, 6648, 6722, 6750, 7015, 7150, 7403, 7421, 7422, 7442, 7528, 8091, 8797, 9290, 9446, 9582, 10232, 10370, 10395, 10495, 23526, 26799, 54431, 54663, 57016, 57448, 79727, 79949, 112939, 200315, 389421, 692088, 100506658]",68
ICD9 148,"[9, 196, 472, 672, 823, 847, 1029, 1386, 1436, 1728, 1869, 1969, 2067, 2194, 2740, 2878, 2923, 2952, 3297, 3397, 3553, 3558, 3606, 3757, 3845, 3934, 4057, 4609, 4846, 5243, 5329, 5465, 5743, 6502, 6528, 6648, 6722, 6750, 7015, 7150, 7403, 7421, 7422, 7442, 7528, 8091, 8797, 9290, 9446, 9582, 10232, 10370, 10395, 10495, 23526, 26799, 54431, 54663, 57016, 57448, 79727, 79949, 112939, 200315, 389421, 406918, 692088, 100506658]",68,set(),0,"[9, 196, 472, 672, 823, 847, 1029, 1386, 1436, 1728, 1869, 1969, 2067, 2194, 2740, 2878, 2923, 2952, 3297, 3397, 3553, 3558, 3606, 3757, 3845, 3934, 4057, 4609, 4846, 5243, 5329, 5465, 5743, 6502, 6528, 6648, 6722, 6750, 7015, 7150, 7403, 7421, 7422, 7442, 7528, 8091, 8797, 9290, 9446, 9582, 10232, 10370, 10395, 10495, 23526, 26799, 54431, 54663, 57016, 57448, 79727, 79949, 112939, 200315, 389421, 692088, 100506658]",67
ICD9 149,"[9, 125, 131, 196, 472, 672, 823, 847, 1029, 1386, 1436, 1728, 1869, 1969, 2067, 2194, 2740, 2878, 2923, 2952, 3297, 3397, 3553, 3558, 3606, 3757, 3845, 3934, 4057, 4609, 4846, 5243, 5329, 5465, 5743, 6502, 6528, 6648, 6722, 6750, 7015, 7150, 7403, 7421, 7422, 7442, 7528, 8091, 8797, 9290, 9446, 9582, 10232, 10370, 10395, 10495, 23526, 26799, 54431, 54663, 57016, 57448, 79727, 79949, 112939, 200315, 389421, 406918, 692088, 100506658]",70,set(),0,"[9, 125, 131, 196, 472, 672, 823, 847, 1029, 1386, 1436, 1728, 1869, 1969, 2067, 2194, 2740, 2878, 2923, 2952, 3297, 3397, 3553, 3558, 3606, 3757, 3845, 3934, 4057, 4609, 4846, 5243, 5329, 5465, 5743, 6502, 6528, 6648, 6722, 6750, 7015, 7150, 7403, 7421, 7422, 7442, 7528, 8091, 8797, 9290, 9446, 9582, 10232, 10370, 10395, 10495, 23526, 26799, 54431, 54663, 57016, 57448, 79727, 79949, 112939, 200315, 389421, 692088, 100506658]",69
ICD9 150,"[9, 25, 60, 125, 131, 196, 217, 246, 331, 360, 472, 581, 595, 596, 597, 672, 823, 841, 847, 864, 902, 1012, 1029, 1386, 1410, 1436, 1440, 1588, 1592, 1630, 1728, 1869, 1956, 1969, 2023, 2064, 2067, 2194, 2597, 2740, 2788, 2810, 2878, 2898, 2920, 2923, 2952, 3297, 3397, 3553, 3558, 3606, 3757, 3791, 3845, 3934, 3958, 4057, 4215, 4233, 4323, 4495, 4609, 4843, 4846, 5052, 5243, 5245, 5329, 5465, 5742, 5743, 6049, 6317, 6502, 6528, 6591, 6648, 6722, 6750, 7001, 7015, 7048, 7052, 7150, 7157, 7168, 7171, 7284, 7345, 7403, 7421, 7422, 7442, 7517, 7528, 8091, 8797, 8856, 9290, 9446, 9582, 10232, 10370, 10395, 10495, 11178, 11197, 11214, 23526, 26272, 26799, 27030, 27113, 49860, 51738, 51741, 54431, 54663, 56475, 56950, 57016, 57448, 60487, 79727, 79949, 90355, 112939, 148867, 200315, 220972, 389421, 406918, 406937, 406985, 406991, 407054, 692088, 100128252, 100506658]",140,{49860},1,"[9, 25, 60, 125, 131, 196, 217, 246, 331, 360, 472, 581, 595, 596, 597, 672, 823, 841, 847, 864, 902, 1012, 1029, 1386, 1410, 1436, 1440, 1588, 1592, 1630, 1728, 1869, 1956, 1969, 2023, 2064, 2067, 2194, 2597, 2740, 2788, 2810, 2878, 2898, 2920, 2923, 2952, 3297, 3397, 3553, 3558, 3606, 3757, 3791, 3845, 3934, 3958, 4057, 4215, 4233, 4323, 4495, 4609, 4843, 4846, 5052, 5243, 5245, 5329, 5465, 5742, 5743, 6049, 6317, 6502, 6528, 6591, 6648, 6722, 6750, 7001, 7015, 7048, 7052, 7150, 7157, 7168, 7171, 7284, 7345, 7403, 7421, 7422, 7442, 7517, 7528, 8091, 8797, 8856, 9290, 9446, 9582, 10232, 10370, 10395, 10495, 11178, 11197, 11214, 23526, 26272, 26799, 27030, 27113, 49860, 51738, 51741, 54431, 54663, 56475, 56950, 57016, 57448, 60487, 79727, 79949, 90355, 112939, 148867, 200315, 220972, 389421, 406937, 406985, 407054, 692088, 100128252, 100506658]",138
